Author/Paper,Powder Material,Substrate Material,Spot Size (mm),Power (W),Mass Flowrate (g/min),Travel Velocity (mm/min),Height (mm),Width (mm),Contact Angle (deg),Aspect Ratio (H/W)
El Cheikh,316L,316L,0.53,180,1.5,300,0.47,0.56,,0.839
El Cheikh,316L,316L,0.53,180,1.5,600,0.19,0.5,,0.38
El Cheikh,316L,316L,0.53,180,1.5,900,0.15,0.43,,0.349
El Cheikh,316L,316L,0.53,180,3,300,0.73,0.41,,1.78
El Cheikh,316L,316L,0.53,180,3,600,0.39,0.38,,1.026
El Cheikh,316L,316L,0.53,180,3,900,0.24,0.42,,0.571
El Cheikh,316L,316L,0.53,180,4.5,300,0.81,0.28,,2.893
El Cheikh,316L,316L,0.53,180,4.5,600,0.47,0.39,,1.205
El Cheikh,316L,316L,0.53,180,4.5,900,0.33,0.4,,0.825
El Cheikh,316L,316L,0.53,360,1.5,300,0.49,0.83,,0.59
El Cheikh,316L,316L,0.53,360,1.5,600,0.27,0.72,,0.375
El Cheikh,316L,316L,0.53,360,1.5,900,0.2,0.68,,0.294
El Cheikh,316L,316L,0.53,360,3,300,0.82,0.86,,0.953
El Cheikh,316L,316L,0.53,360,3,600,0.42,0.71,,0.592
El Cheikh,316L,316L,0.53,360,3,900,0.26,0.62,,0.419
El Cheikh,316L,316L,0.53,360,4.5,300,0.9,0.9,,1
El Cheikh,316L,316L,0.53,360,4.5,600,0.59,0.73,,0.808
El Cheikh,316L,316L,0.53,360,4.5,900,0.35,0.71,,0.493
El Cheikh,316L,316L,0.53,280,1.5,300,0.32,0.66,,0.485
El Cheikh,316L,316L,0.53,280,1.5,600,0.14,0.6,,0.233
El Cheikh,316L,316L,0.53,280,1.5,900,0.09,0.53,,0.17
El Cheikh,316L,316L,0.53,280,3,300,0.68,0.64,,1.063
El Cheikh,316L,316L,0.53,280,3,600,0.37,0.62,,0.597
El Cheikh,316L,316L,0.53,280,3,900,0.22,0.55,,0.4
El Cheikh,316L,316L,0.53,280,4.5,300,0.8,0.65,,1.231
El Cheikh,316L,316L,0.53,280,4.5,600,0.47,0.56,,0.839
El Cheikh,316L,316L,0.53,280,4.5,900,0.27,0.56,,0.482
Wu,Cobalt,Steel,6,1330,11.4,600,0.7,4.86,35,0.144
Wu,Cobalt,Steel,6,1880,16.7,600,0.95,5,42,0.19
Wu,Cobalt,Steel,6,1900,21.9,600,1.17,4.83,48,0.242
Wu,Cobalt,Steel,6,1930,16.7,900,0.69,4.94,32,0.14
Wu,Cobalt,Steel,6,1100,11.4,360,1.14,4.84,44,0.236
Wu,Cobalt,Steel,6,1770,11.4,1080,0.4,4.8,20,0.083
Wu,Cobalt,Steel,6,2000,16.7,1080,0.67,4.94,24,0.136
Wu,Cobalt,Steel,6,1420,16.8,360,1.87,4.81,55,0.389
Wu,Cobalt,Steel,6,1710,21.8,360,2.23,4.85,71,0.46
